Sample	Strain	Treatment	Batch	Resistance
B7D1	BZ37	Treated	A	Sensitive
B7D3	BZ37	Treated	A	Sensitive
B7D4	BZ37	Treated	A	Sensitive
D6D1	DEN62	Treated	B	Sensitive
D6D2	DEN62	Treated	B	Sensitive
D6D3	DEN62	Treated	B	Sensitive
F9D1	FIN19	Treated	C	Sensitive
F9D3	FIN19	Treated	C	Sensitive
F9D4	FIN19	Treated	C	Sensitive
G4D1	GIM44	Treated	A	Resistant
G4D2	GIM44	Treated	A	Resistant
G4D4	GIM44	Treated	A	Resistant
M3D1	MUN33	Treated	C	Resistant
M3D2	MUN33	Treated	C	Resistant
M3D3	MUN33	Treated	C	Resistant
M4D1	MUN24	Treated	B	Resistant
M4D2	MUN24	Treated	B	Resistant
M4D4	MUN24	Treated	B	Resistant
