strain	type	x	s1	s2	s3	1%	2%	3%	mean percentage	sem	sd
GIM-012	Treated	Lower pH	12	10	17	37.5	26.31578947	43.58974359	35.80184435	5.058332141	8.76128827
GIM-012	Treated	Intermediate	20	20	18	62.5	52.63157895	46.15384615	53.76180837	4.752446749	8.231479229
GIM-012	Treated	Higher pH	0	6	4	0	15.78947368	10.25641026	8.681961314	4.625510311	8.01161887
GIM-012	Treated	No feeding	0	2	0	0	5.263157895	0	1.754385965	1.754385965	3.038685627
GIM-012	Control	Lower pH	28	27	24	90.32258065	81.81818182	66.66666667	79.60247638	6.918154366	11.98259486
GIM-012	Control	Intermediate	3	5	9	9.677419355	15.15151515	25	16.60964484	4.482929698	7.764662004
GIM-012	Control	Higher pH	0	0	1	0	0	2.777777778	0.925925926	0.925925926	1.603750748
GIM-012	Control	No feeding	0	1	2	0	3.03030303	5.555555556	2.861952862	1.605958252	2.781601287
MUN-020	Treated	Lower pH	12	10	9	33.33333333	26.31578947	23.07692308	27.57534863	3.027009238	5.242933796
MUN-020	Treated	Intermediate	8	14	18	22.22222222	36.84210526	46.15384615	35.07272455	6.964880642	12.06352714
MUN-020	Treated	Higher pH	12	12	11	33.33333333	31.57894737	28.20512821	31.0391363	1.504788905	2.606370839
MUN-020	Treated	No feeding	4	2	1	11.11111111	5.263157895	2.564102564	6.312790523	2.522507698	4.369111496
MUN-020	Control	Lower pH	28	24	29	84.84848485	75	85.29411765	81.71420083	3.359564295	5.81893605
MUN-020	Control	Intermediate	5	6	4	15.15151515	18.75	11.76470588	15.22207368	2.01678931	3.493181552
MUN-020	Control	Higher pH	0	1	0	0	3.125	0	1.041666667	1.041666667	1.804219591
MUN-020	Control	No feeding	0	1	1	0	3.125	2.941176471	2.022058824	1.012421056	1.753564708
MUN-008	Treated	Lower pH	14	15	9	36.84210526	40.54054054	20.93023256	32.77095945	6.015860037	10.41977523
MUN-008	Treated	Intermediate	6	8	10	15.78947368	21.62162162	23.25581395	20.22230309	2.266063292	3.924936754
MUN-008	Treated	Higher pH	16	14	21	42.10526316	37.83783784	48.8372093	42.9267701	3.201702588	5.545511554
MUN-008	Treated	No feeding	2	0	3	5.263157895	0	6.976744186	4.07996736	2.099102565	3.635752294
MUN-008	Control	Lower pH	24	28	28	68.57142857	73.68421053	63.63636364	68.63066758	2.900714781	5.024185379
MUN-008	Control	Intermediate	8	8	15	22.85714286	21.05263158	34.09090909	26.00022784	4.078741944	7.064588278
MUN-008	Control	Higher pH	3	1	1	8.571428571	2.631578947	2.272727273	4.491911597	2.042387303	3.537518578
MUN-008	Control	No feeding	0	1	0	0	2.631578947	0	0.877192982	0.877192982	1.519342814
AKA-018	Treated	Lower pH	2	3	2	5.555555556	8.108108108	4.87804878	6.180570815	0.983413082	1.703321423
AKA-018	Treated	Intermediate	6	8	10	16.66666667	21.62162162	24.3902439	20.89284406	2.259184873	3.913022984
AKA-018	Treated	Higher pH	18	22	25	50	59.45945946	60.97560976	56.81168974	3.433851858	5.947605884
AKA-018	Treated	No feeding	10	4	4	27.77777778	10.81081081	9.756097561	16.11489538	5.839384223	10.11411016
AKA-018	Control	Lower pH	27	27	29	81.81818182	75	72.5	76.43939394	2.784541811	4.822967892
AKA-018	Control	Intermediate	6	8	9	18.18181818	22.22222222	22.5	20.96801347	1.395403556	2.416909856
AKA-018	Control	Higher pH	0	1	2	0	2.777777778	5	2.592592593	1.446342533	2.505138752
AKA-018	Control	No feeding	0	0	0	0	0	0	0	0	0
COR-018	Treated	Lower pH	2	2	1	5.714285714	5.263157895	2.564102564	4.513848724	0.983533027	1.703529173
COR-018	Treated	Intermediate	12	16	16	34.28571429	42.10526316	41.02564103	39.13887282	2.446511587	4.237482369
COR-018	Treated	Higher pH	20	18	22	57.14285714	47.36842105	56.41025641	53.64051154	3.143168	5.444126672
COR-018	Treated	No feeding	1	2	0	2.857142857	5.263157895	0	2.706766917	1.521202096	2.634799318
COR-018	Control	Lower pH	28	30	25	75.67567568	75	62.5	71.05855856	4.283722208	7.419624509
COR-018	Control	Intermediate	8	8	12	21.62162162	20	30	23.87387387	3.098627662	5.366980544
COR-018	Control	Higher pH	1	1	2	2.702702703	2.5	5	3.400900901	0.801687916	1.388564202
COR-018	Control	No feeding	0	1	1	0	2.5	2.5	1.666666667	0.833333333	1.443375673
JUT-008	Treated	Lower pH	3	2	2	8.108108108	5.128205128	5.714285714	6.316866317	0.911460911	1.578696608
JUT-008	Treated	Intermediate	7	6	3	18.91891892	15.38461538	8.571428571	14.29165429	3.036640802	5.259616154
JUT-008	Treated	Higher pH	26	30	27	70.27027027	76.92307692	77.14285714	74.77873478	2.255124904	3.905990912
JUT-008	Treated	No feeding	1	1	3	2.702702703	2.564102564	8.571428571	4.612744613	1.979746323	3.429021218
JUT-008	Control	Lower pH	19	24	9	50	60	32.14285714	47.38095238	8.147589825	14.11203954
JUT-008	Control	Intermediate	12	11	15	31.57894737	27.5	53.57142857	37.55012531	8.096729205	14.02394636
JUT-008	Control	Higher pH	6	4	3	15.78947368	10	10.71428571	12.1679198	1.82247912	3.156626431
JUT-008	Control	No feeding	1	1	1	2.631578947	2.5	3.571428571	2.901002506	0.337358161	0.584321475

