strain	strain_no	time	status	v1	v2	v3	v4	v5	v6
GIM-012	GIM044	40h	treated	0.001347337848	0.0007887759682	0.001024629584	0.001179145621	0.0007286088746	0.0007278333731
GIM-012	GIM044	40h	control	0.001920581168	0.002379382515	0.004116174647	0.002017493851	0.003297228327	0.003541103476
GIM-012	GIM044	24h	treated	0.001937064213	0.002334254415	0.002825737152	0.002175913353	0.001913883022	0.003347811116
GIM-012	GIM044	24h	control	0.002847873987	0.002399731165	0.00296182985	0.002702415416	0.003236387364	0.003013668954
MUN-020	MUN033	40h	treated	0.001564776737	0.0008394885025	0.0007087341765	0.0005470309185	0.0008449561298	0.001599046319
MUN-020	MUN033	40h	control	0.000904945975	0.003169860767	0.001721095773	0.001416065169	0.002417501099	0.001504007645
MUN-020	MUN033	24h	treated	0.002159368285	0.002652725404	0.002410903547	0.002424262128	0.002215691165	0.002396678463
MUN-020	MUN033	24h	control	0.003225009162	0.004015394967	0.003283771164	0.002531922909	0.002977009763	0.00258361077
MUN-008	MUN024	40h	treated	0.0007131876323	0.0007527154686	0.0007551322459	0.0008548157649	0.001101078501	0.0009126017683
MUN-008	MUN024	40h	control	0.002588067047	0.004379155202	0.003743985995	0.003505735998	0.004472437664	0.004295475442
MUN-008	MUN024	24h	treated	0.001040907028	0.002642458568	0.001745387592	0.00183729137	0.00207926175	0.002499181941
MUN-008	MUN024	24h	control	0.002796089988	0.004165658719	0.004281566216	0.00205055397	0.003967951188	0.00448336191
AKA-018	FIN019	40h	treated	0.0003952961075	0.001247264511	0.000451655783	0.0004236140439	0.0009978596182	0.001284953047
AKA-018	FIN019	40h	control	0.002368557173	0.002110867104	0.002310239747	0.001833434963	0.002824639245	0.003194952124
AKA-018	FIN019	24h	treated	0.002281778535	0.001629561042	0.002282186898	0.001733069154	0.002738427173	0.001235708599
AKA-018	FIN019	24h	control	0.001790716779	0.00225460353	0.002932700868	0.002580738462	0.002414259647	0.002233279677
JUT-008	DEN062	40h	treated	0.001160621596	0.001063315644	0.0009244889535	0.0007441933759	0.001592504603	0.001225083931
JUT-008	DEN062	40h	control	0.0008023881234	0.001330892335	0.003013470496	0.00178240927	0.001539954424	0.001626780554
JUT-008	DEN062	24h	treated	0.001063660445	0.0007501118988	0.001046405308	0.001510987687	0.001730100657	0.001578120745
JUT-008	DEN062	24h	control	0.001923854574	0.001891668931	0.002021700365	0.00195167264	0.002146743033	0.001873560684
COR-018	COR037	40h	treated	0.0005271196	0.0006681306386	0.000323910698	0.0005866893392	0.0005000089046	0.0006486647923
COR-018	COR037	40h	control	0.001576781703	0.002223316293	0.002599840052	0.001310290768	0.003329767653	0.002395759021
COR-018	COR037	24h	treated	0.001670687154	0.0010007146	0.001609807639	0.001551268439	0.001432430656	0.002209862849
COR-018	COR037	24h	control	0.003130764248	0.003439535032	0.001636434685	0.001756017969	0.001617282207	0.001415141822
