strain	type	x	s1	s2	s3	1%	2%	3%	mean percentage	sem	sd
w1118; CG11594	Treated	Lower pH	1	1	2	2.43902439	2.380952381	5.128205128	3.316060633	0.906227316	1.569631754
w1118; CG11594	Treated	Intermediate	7	3	3	17.07317073	7.142857143	7.692307692	10.63611186	3.222435373	5.581421791
w1118; CG11594	Treated	Higher pH	31	35	33	75.6097561	83.33333333	84.61538462	81.18615802	2.812656374	4.871663744
w1118; CG11594	Treated	No feeding	2	3	1	4.87804878	7.142857143	2.564102564	4.861669496	1.321797965	2.289421233
w1118; CG11594	Control	Lower pH	18	18	23	42.85714286	41.86046512	52.27272727	45.66344508	3.317142341	5.745459071
w1118; CG11594	Control	Intermediate	13	11	9	30.95238095	25.58139535	20.45454545	25.66277392	3.030737225	5.249390859
w1118; CG11594	Control	Higher pH	9	14	12	21.42857143	32.55813953	27.27272727	27.08647941	3.214178887	5.567121137
w1118; CG11594	Control	No feeding	2	0	0	4.761904762	0	0	1.587301587	1.587301587	2.749286996
w1118	Treated	Lower pH	2	2	2	4.444444444	4.761904762	4.444444444	4.55026455	0.105820106	0.1832858
w1118	Treated	Intermediate	12	9	8	26.66666667	21.42857143	17.77777778	21.95767196	2.579602485	4.468002568
w1118	Treated	Higher pH	30	29	33	66.66666667	69.04761905	73.33333333	69.68253968	1.950508846	3.378380421
w1118	Treated	No feeding	1	2	2	2.222222222	4.761904762	4.444444444	3.80952381	0.798924279	1.383777442
w1118	Control	Lower pH	28	29	33	63.63636364	60.41666667	76.74418605	66.93240545	4.993158353	8.648403957
w1118	Control	Intermediate	12	15	8	27.27272727	31.25	18.60465116	25.70912615	3.733177742	6.466053523
w1118	Control	Higher pH	2	3	1	4.545454545	6.25	2.325581395	4.373678647	1.136133144	1.96784033
w1118	Control	No feeding	2	1	1	4.545454545	2.083333333	2.325581395	2.984789758	0.783459628	1.356991881

