Strain	Repeat	Location	LT50	Latitude	Longitude	Dis10	Dis50	LUCAS	PM10	PM2.5	Arsenic	Cadium	Lead	UrbanCategory	UrbanCategoryF
AT_MUT	MA18	MA	61.6	48.38	15.56	5	20	18.6	20.959365	15.777636	0.653863	0.131524	0.004831	2	Semi
AT_MUT	MA63	MA	46.04	48.38	15.56	5	20	18.6	20.959365	15.777636	0.653863	0.131524	0.004831	2	Semi
AT_MUT	MA23	MA	49.17	48.38	15.56	5	20	18.6	20.959365	15.777636	0.653863	0.131524	0.004831	2	Semi
AT_MUT	MA131	MA	39.52	48.38	15.56	5	20	18.6	20.959365	15.777636	0.653863	0.131524	0.004831	2	Semi
AT_MUT	MA127	MA	48.35	48.38	15.56	5	20	18.6	20.959365	15.777636	0.653863	0.131524	0.004831	2	Semi
AT_MUT	MA65	MA	46.34	48.38	15.56	5	20	18.6	20.959365	15.777636	0.653863	0.131524	0.004831	2	Semi
AT_MUT	MA74	MA	51.91	48.38	15.56	5	20	18.6	20.959365	15.777636	0.653863	0.131524	0.004831	2	Semi
DE_MUN	MUN32	MUN	38.04	48.18	11.61	0	0	33.84	12.47494	11.973409	0.412405	0.09089	0.002997	1	Urban
DE_MUN	MUN30	MUN	49.88	48.18	11.61	0	0	33.84	12.47494	11.973409	0.412405	0.09089	0.002997	1	Urban
DE_MUN	MUN31	MUN	51.87	48.18	11.61	0	0	33.84	12.47494	11.973409	0.412405	0.09089	0.002997	1	Urban
DE_MUN	MUN25	MUN	63.46	48.18	11.61	0	0	33.84	12.47494	11.973409	0.412405	0.09089	0.002997	1	Urban
DE_MUN	MUN28	MUN	69.73	48.18	11.61	0	0	33.84	12.47494	11.973409	0.412405	0.09089	0.002997	1	Urban
DE_MUN	MUN26	MUN	77.24	48.18	11.61	0	0	33.84	12.47494	11.973409	0.412405	0.09089	0.002997	1	Urban
DE_MUN	MUN29	MUN	77.95	48.18	11.61	0	0	33.84	12.47494	11.973409	0.412405	0.09089	0.002997	1	Urban
DE_MUN	MUN33	MUN	80.17	48.18	11.61	0	0	33.84	12.47494	11.973409	0.412405	0.09089	0.002997	1	Urban
DE_MUN	MUN24	MUN	80.57	48.18	11.61	0	0	33.84	12.47494	11.973409	0.412405	0.09089	0.002997	1	Urban
DK_JUT	DEN62	DEN	26.36	55.95	10.21	22	22	13.76	20.599463	12.085823	0.519032	0.067025	0.002619	3	Rural
DK_JUT	DEN65	DEN	41.89	55.95	10.21	22	22	13.76	20.599463	12.085823	0.519032	0.067025	0.002619	3	Rural
DK_JUT	DEN59	DEN	43	55.95	10.21	22	22	13.76	20.599463	12.085823	0.519032	0.067025	0.002619	3	Rural
DK_JUT	DEN64	DEN	44.27	55.95	10.21	22	22	13.76	20.599463	12.085823	0.519032	0.067025	0.002619	3	Rural
DK_JUT	DEN58	DEN	51.56	55.95	10.21	22	22	13.76	20.599463	12.085823	0.519032	0.067025	0.002619	3	Rural
DK_JUT	DEN61	DEN	62.19	55.95	10.21	22	22	13.76	20.599463	12.085823	0.519032	0.067025	0.002619	3	Rural
DK_JUT	DEN63	DEN	74.26	55.95	10.21	22	22	13.76	20.599463	12.085823	0.519032	0.067025	0.002619	3	Rural
DK_JUT	DEN60	DEN	77.62	55.95	10.21	22	22	13.76	20.599463	12.085823	0.519032	0.067025	0.002619	3	Rural
ES_COR	BZ37	BZ	33.9	37.66	-2.8	20	90	17.55	16.281987	26.85	0.33422	0.062254	0.004423	3	Rural
ES_COR	BZ40	BZ	38.95	37.66	-2.8	20	90	17.55	16.281987	26.85	0.33422	0.062254	0.004423	3	Rural
ES_COR	BZ36	BZ	42.26	37.66	-2.8	20	90	17.55	16.281987	26.85	0.33422	0.062254	0.004423	3	Rural
ES_COR	BZ39	BZ	44.12	37.66	-2.8	20	90	17.55	16.281987	26.85	0.33422	0.062254	0.004423	3	Rural
ES_COR	BZ34	BZ	46.64	37.66	-2.8	20	90	17.55	16.281987	26.85	0.33422	0.062254	0.004423	3	Rural
ES_COR	BZ41	BZ	55.71	37.66	-2.8	20	90	17.55	16.281987	26.85	0.33422	0.062254	0.004423	3	Rural
ES_COR	BZ35	BZ	58.98	37.66	-2.8	20	90	17.55	16.281987	26.85	0.33422	0.062254	0.004423	3	Rural
ES_COR	BZ38	BZ	66.84	37.66	-2.8	20	90	17.55	16.281987	26.85	0.33422	0.062254	0.004423	3	Rural
ES_GIM	GIM43	GIM	33.39	41.66	0.39	20	20	27.34	30.427586	19.215204	0.635849	0.249186	0.004233	3	Rural
ES_GIM	GIM48	GIM	39.85	41.66	0.39	20	20	27.34	30.427586	19.215204	0.635849	0.249186	0.004233	3	Rural
ES_GIM	GIM42	GIM	40.02	41.66	0.39	20	20	27.34	30.427586	19.215204	0.635849	0.249186	0.004233	3	Rural
ES_GIM	GIM46	GIM	44.96	41.66	0.39	20	20	27.34	30.427586	19.215204	0.635849	0.249186	0.004233	3	Rural
ES_GIM	GIM49	GIM	46.82	41.66	0.39	20	20	27.34	30.427586	19.215204	0.635849	0.249186	0.004233	3	Rural
ES_GIM	GIM47	GIM	47.3	41.66	0.39	20	20	27.34	30.427586	19.215204	0.635849	0.249186	0.004233	3	Rural
ES_GIM	GIM50	GIM	57.44	41.66	0.39	20	20	27.34	30.427586	19.215204	0.635849	0.249186	0.004233	3	Rural
ES_GIM	GIM45	GIM	74.92	41.66	0.39	20	20	27.34	30.427586	19.215204	0.635849	0.249186	0.004233	3	Rural
ES_GIM	GIM44	GIM	81.24	41.66	0.39	20	20	27.34	30.427586	19.215204	0.635849	0.249186	0.004233	3	Rural
ES_GUA	GUA76	GUA	36.21	37.33	-3.17	4	43	22.13	16.281987	16.196428	0.33422	0.062254	0.004423	3	Rural
ES_GUA	GUA74	GUA	42.29	37.33	-3.17	4	43	22.13	16.281987	16.196428	0.33422	0.062254	0.004423	3	Rural
ES_GUA	GUA75	GUA	43.54	37.33	-3.17	4	43	22.13	16.281987	16.196428	0.33422	0.062254	0.004423	3	Rural
ES_GUA	GUA72	GUA	44.34	37.33	-3.17	4	43	22.13	16.281987	16.196428	0.33422	0.062254	0.004423	3	Rural
ES_GUA	GUA71	GUA	45.48	37.33	-3.17	4	43	22.13	16.281987	16.196428	0.33422	0.062254	0.004423	3	Rural
ES_GUA	GUA73	GUA	55.58	37.33	-3.17	4	43	22.13	16.281987	16.196428	0.33422	0.062254	0.004423	3	Rural
ES_TEN	TF53	TF	37.63	28.5	-16.31	0	0	6.69	23.790677	11.563811	0.286523	0.144478	0.001435	1	Urban
ES_TEN	TF52	TF	38.48	28.5	-16.31	0	0	6.69	23.790677	11.563811	0.286523	0.144478	0.001435	1	Urban
ES_TEN	TF56	TF	38.89	28.5	-16.31	0	0	6.69	23.790677	11.563811	0.286523	0.144478	0.001435	1	Urban
ES_TEN	TF55	TF	44.18	28.5	-16.31	0	0	6.69	23.790677	11.563811	0.286523	0.144478	0.001435	1	Urban
ES_TEN	TF57	TF	55.72	28.5	-16.31	0	0	6.69	23.790677	11.563811	0.286523	0.144478	0.001435	1	Urban
ES_TEN	TF54	TF	64.58	28.5	-16.31	0	0	6.69	23.790677	11.563811	0.286523	0.144478	0.001435	1	Urban
